rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,cleaned_text,review_sentiment_score,review_sentiment_deviation,normalized_score,trust_score,normalized_trust_score
5.0,Gore-tex,"I jeep with Doors & top off in 30 & below weather, this keeps wind out! Gore-tex pants, jackets cost triple the price easily. These are light weight, roomy & allow me to be out enjoyment early morning adventures!",[],0000099813,0000099813,AH2JIO7552XIPHTNRXLG73NHGXEA,2020-01-01 12:14:22.504,0,1,jeep door top 30 weather keep wind goretex pant jacket cost triple price easily light weight roomy allow enjoyment early morning adventure,0.875,0.0380333333333333,0.7698539339634222,0.472987453459351,0.397154912690955
5.0,Goretex ripstop water proof coveralls at great price.,"I'm 6'1"" and usually get xl but at this price I risked it and they fit great. I'm probably going to buy another pair at this price.",[],0000099813,0000099813,AF4X5EEPQF23KFIEWWJWFBR4J3TQ,2019-11-15 02:37:45.165,0,1,6 1 usually get xl price risked fit great probably going buy another pair price,0.6908,0.1461666666666666,0.8829016816005893,0.5496636696534511,0.4615378804109596
5.0,Incredible Value,"I bought elsewhere before I saw them here. These are top notch outer shells at an unbeatable price. Goretex is expensive, and something like this from a famous name outdoor gear collection would probably be a few hundred bucks. The quality is very good (military grade, obviously), from the materials to the zippers. The only thing I would change is adding some front ""pants"" pockets. Wind and waterproof, perfect for my fowl/winter weather fishing, with warm clothes underneath when needed.<br /><br />I'm 6' 3"" tall, 200 lbs., built long all around. I tried a large first and could just have gotten by with it, but I decided to go up to x-large and like that better. 6' 1"" is probably the limit on large, maybe 6' 2"" if you're not long in the torso.",[],0000099813,0000099813,AGNTVEUIXCLPEI7TOFQURTRT264A,2020-01-28 03:56:50.473,0,0,bought elsewhere saw top notch outer shell unbeatable price goretex expensive something like famous name outdoor gear collection would probably hundred buck quality good military grade obviously material zipper thing would change adding front pant pocket wind waterproof perfect fowlwinter weather fishing warm clothes underneath needed br br 6 3 tall 200 lb built long around tried large first could gotten decided go xlarge like better 6 1 probably limit large maybe 6 2 long torso,0.9451,0.1081333333333334,0.7268319626856512,0.1994330592037969,0.1674586051627287
5.0,Great bag,I carry my bible and  I le accessories in this bag. I love it and can just throw it in my shoulder and go.,[],0310807115,0310807115,AFL2SICKO2EBKUJBDB5SXQHCG5HQ,2012-11-11 04:44:19.000,0,1,carry bible le accessory bag love throw shoulder go,0.6369,0.0,0.91598134282558,0.483196268565116,0.4057269816588618
5.0,Very nice top,Very nicely made.  Colors are beautiful.  Washes a ND dries well.,[],0512238944,0512238944,AFP7ALY4O7FJGR4QDW2F4ZFKHYWA,2022-06-24 18:41:57.692,0,0,nicely made color beautiful wash nd dry well,0.836,0.418,0.7937891248312263,0.3677578249662452,0.3087964084409628
5.0,De moda,Me encantó y quedó mi talla.,[],0512238944,0512238944,AH4YEZV2KLY4ANWX6ULQGQC264NA,2022-05-18 11:54:32.495,0,1,encantó quedó mi talla,0.0,0.418,0.6931385786178962,0.6476277157235792,0.5437956694480173
3.0,"Its not bad, but not what I expected.","The shirt is nice quality. The color and pattern is as pictured. However, I decided to return this shirt because I don't like how it hits my shoulders. The picture shows the woman's shoulders mostly covered, but on me my entire arm is exposed atopping rightag the top of my shoulders. I don't really like that on me.",[],0512238987,0512238987,AFRXEWLT7PVKIC4I3SBIZMMEM2BA,2022-10-10 15:24:53.695,0,0,shirt nice quality color pattern pictured however decided return shirt nt like hit shoulder picture show woman shoulder mostly covered entire arm exposed atopping rightag top shoulder nt really like,0.8221,0.0,0.8023198723456487,0.1604639744691297,0.1347373070981634
5.0,Great buy!,"I like all about the top,",[],0512238995,0512238995,AFYV33342DP4XLIJUKE3QN2FTIRQ,2022-07-05 19:33:33.311,1,1,like top,0.5106,0.1912999999999999,0.9934945378666994,0.5943489075733398,0.4990588794033211
5.0,"Fun T-shirt style, color and design","Love this T-shirt. Fit was spot on (I’m 5’4 and 155lbs). The shirt was slightly loose around my mid section (just the way I like it) and it was a great length, falling about mid way down my back side.",[],0512238995,0512238995,AEARFPJJENEPG55ZVYKSVFBF5Z6Q,2022-12-19 22:32:25.633,0,1,love tshirt fit spot 5 4 155lbs shirt slightly loose around mid section way like great length falling mid way back side,0.8932,0.1913,0.710796612249908,0.5378093224499816,0.4515841021570786
5.0,Love!,Super cute casual comfy shirt I love it,[],0512239045,0512239045,AF2B6PWS2LXQQPO27WKFX6O3A2BA,2022-07-19 23:44:32.745,0,1,super cute casual comfy shirt love,0.9169,0.0,0.7441389468516019,0.4488277893703203,0.3768686890041645
5.0,Cute casual top,Cute casual top. Doesn’t fit tight.,[],0512239134,0512239134,AFKZGSWQT2CBS323XEZY3EASYSIA,2021-11-07 16:11:00.306,0,1,cute casual top fit tight,0.7964,0.0,0.763992880815024,0.4527985761630048,0.3802028524590911
5.0,Nice Top,This top is so soft and pretty good quality.,[],0512239150,0512239150,AGWUZVQ47I5VU4BKPUARAV2ZIEJQ,2022-06-07 17:30:25.045,0,1,top soft pretty good quality,0.7845,0.0,0.7775254694979747,0.4555050938995949,0.3824754430056485
3.0,a lot of shirt,"I couldn't tell from the picture or description just how long this shirt is. It's more like tunic length, and there's a lot of material on top as well. Just didn't fit me.",[],0512239347,0512239347,AHC6KCM4H4WBIUC6ZUT6T6ZNGKWQ,2022-07-26 14:07:47.891,0,1,could nt tell picture description long shirt like tunic length lot material top well nt fit,0.7845,0.0,0.825395851233583,0.4650791702467166,0.3905145388165999
5.0,Pleasantly Surprised,For the price this T-shirt is actually quite nice.  I like it! The shipping was kinda slow but not horrible.,[],0512243034,0512243034,AHVMBLGBG5S4LMGUA7VSZBI53WQQ,2022-12-02 19:17:10.993,0,1,price tshirt actually quite nice like shipping kinda slow horrible,0.3919,0.0,0.9336565606971892,0.4867313121394378,0.4086952631890592
3.0,Runs big,"M fits like a L or XL. Unless the wrong size was sent, because it doesn't have a tag..<br /><br />Would be cute if it fit, material is soft and only sleeves are ribbed.",[],0512243085,0512243085,AHBCF72K45JFEHF36YAZQQM56PNQ,2022-09-02 09:25:16.236,0,0,fit like l xl unless wrong size sent nt tag br br would cute fit material soft sleeve ribbed,0.8555,0.0,0.7818215293973241,0.1563643058794648,0.1312949250457816
